Player,Tm,PTS,Points_Running_Avg,player_points_line
Stephen Curry,GSW,25.0,26.658,28.5
Stephen Curry,GSW,33.0,26.821,27.5
Stephen Curry,GSW,46.0,27.3,27.5
Stephen Curry,GSW,37.0,27.537,27.5
Klay Thompson,GSW,24.0,17.115,19.5
Klay Thompson,GSW,20.0,17.222,21.5
Klay Thompson,GSW,9.0,17.31,20.5
Klay Thompson,GSW,13.0,17.167,18.5
Klay Thompson,GSW,3.0,16.71,17.5
Klay Thompson,GSW,15.0,16.656,15.5
Klay Thompson,GSW,24.0,16.879,15.5
Klay Thompson,GSW,25.0,17.171,18.5
Klay Thompson,GSW,13.0,17.056,18.5
